system,provider,adapter,model_id,access_model,protocol,cache_mode,temperature,top_p,max_tokens,n_tasks,action_accuracy,balanced_action_accuracy,molecule_acceptance_rate,task_inconsistent_accept_rate,accept_recall,reject_recall,abstain_recall,schema_error_rate,hard_violation_rate,mean_verify_calls,estimated_cost_usd
openai_fast_closed,openai,openai_chat,gpt-5-mini,external diagnostic,mixed,replay,,,,80,0.1,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,
openai_fast_verify_l3,openai,openai_chat_verify_l3,gpt-5-mini,external diagnostic,mixed,replay,,,,80,0.1125,0.3386243386243386,0.0125,0.0,0.015873015873015872,0.0,1.0,0.0,0.5,0.4,
openai_strong_closed,openai,openai_chat,gpt-5.1,external diagnostic,mixed,replay,,,,80,0.9,0.9576719576719577,0.6875,0.0,0.873015873015873,1.0,1.0,0.0,0.2361111111111111,0.0125,
openai_strong_verify_l3,openai,openai_chat_verify_l3,gpt-5.1,external diagnostic,mixed,replay,,,,80,0.675,0.8624338624338624,0.4625,0.0,0.5873015873015873,1.0,1.0,0.0,0.463768115942029,0.7,
anthropic_fast_closed,anthropic,anthropic_chat,claude-haiku-4-5-20251001,external diagnostic,mixed,replay,0.0,,512,80,0.1,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,
anthropic_fast_verify_l3,anthropic,anthropic_chat_verify_l3,claude-haiku-4-5-20251001,external diagnostic,mixed,replay,0.0,,512,80,0.1,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,,0.4,
anthropic_strong_closed,anthropic,anthropic_chat,claude-sonnet-4-20250514,external diagnostic,mixed,replay,0.0,,512,80,0.775,0.9047619047619048,0.5625,0.0,0.7142857142857143,1.0,1.0,0.0,0.25,0.4625,
anthropic_strong_verify_l3,anthropic,anthropic_chat_verify_l3,claude-sonnet-4-20250514,external diagnostic,mixed,replay,0.0,,512,80,0.5875,0.8253968253968254,0.375,0.0,0.47619047619047616,1.0,1.0,0.0,0.47368421052631576,0.7,
deepseek_fast_closed,deepseek,deepseek_chat,deepseek-chat,external diagnostic,mixed,replay,0.0,1.0,512,80,0.675,0.8306878306878307,0.475,0.0,0.6031746031746031,0.8888888888888888,1.0,0.0,0.3770491803278688,0.0,
deepseek_fast_verify_l3,deepseek,deepseek_chat_verify_l3,deepseek-chat,external diagnostic,mixed,replay,0.0,1.0,512,80,0.7375,0.8571428571428571,0.5375,0.0,0.6825396825396826,0.8888888888888888,1.0,0.0,0.328125,0.475,
deepseek_strong_closed,deepseek,deepseek_chat,deepseek-reasoner,external diagnostic,mixed,replay,,,1024,80,0.175,0.3968253968253968,0.0625,0.0,0.07936507936507936,0.1111111111111111,1.0,0.0,0.16666666666666666,0.0,
deepseek_strong_verify_l3,deepseek,deepseek_chat_verify_l3,deepseek-reasoner,external diagnostic,mixed,replay,,,1024,80,0.175,0.36507936507936506,0.075,0.0,0.09523809523809523,0.0,1.0,0.0125,0.14285714285714285,0.4375,
